Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,"Ses04M_impro06_F000 [009.0835-012.2600]: Hey, how you doing?",nan,nan,nan,nan,nan,0,nan,['hey']
2,Ses04M_impro06_F001 [014.6600-017.1300]: I'm sorry.,4.81,4.62,5.65,neutral,5.026666666666666,1 out of 1,['sorry'],['sorry']
3,Ses04M_impro06_M000 [017.0200-019.1226]: Thanks.,7.73,4.05,6.72,positive,6.166666666666667,1 out of 1,['thanks'],['thanks']
4,"Ses04M_impro06_F002 [017.2300-022.5100]: I know- I know there's nothing I can say that will really help, but--",6.625,3.8,6.3325,positive,5.585833333333333,4 out of 6,"['know', 'know', 'say', 'help']","['know', 'know', 'nothing', 'say', 'really', 'help']"
5,Ses04M_impro06_M001 [022.1200-033.7100]: I know.,6.82,3.24,5.78,positive,5.28,1 out of 1,['know'],['know']
6,I just -- I don't know.,3.1799999999999997,6.76,4.22,negative,4.72,1 out of 1,['neg-know'],['know']
7,"It's just weird because you have somebody who's, you know,",5.955,3.765,5.265000000000001,neutral,4.995,2 out of 3,"['weird', 'know']","['weird', 'somebody', 'know']"
8,Ses04M_impro06_M002 [034.1100-044.5600]: a major part of your life and then they're gone.,5.8225,4.5125,5.4275,neutral,5.254166666666667,4 out of 4,"['major', 'part', 'life', 'go']","['major', 'part', 'life', 'go']"
9,And I don't know.,3.1799999999999997,6.76,4.22,negative,4.72,1 out of 1,['neg-know'],['know']
10,That's not really -- it's never really happened to me before.,5.5,3.43,5.53,neutral,4.82,1 out of 4,['happen'],"['really', 'never', 'really', 'happen']"
11,Ses04M_impro06_F003 [044.5600-049.5000]: I'm sorry.,4.81,4.62,5.65,neutral,5.026666666666666,1 out of 1,['sorry'],['sorry']
12,It's never easy.,7.47,3.82,6.79,positive,6.026666666666666,1 out of 2,['easy'],"['never', 'easy']"
13,Ses04M_impro06_M003 [049.0336-050.6300]: Yeah.,nan,nan,nan,nan,nan,0,nan,['yeah']
14,"Ses04M_impro06_F004 [051.4800-056.8564]: But, I'm here if there's anything you need.",5.45,3.67,5.06,neutral,4.726666666666667,1 out of 2,['need'],"['anything', 'need']"
15,"I mean, you just have to ask.",4.19,4.145,5.23,neutral,4.521666666666667,2 out of 2,"['mean', 'ask']","['mean', 'ask']"
16,I know --,6.82,3.24,5.78,positive,5.28,1 out of 1,['know'],['know']
17,Ses04M_impro06_M004 [056.5200-057.8700]: Thanks.,7.73,4.05,6.72,positive,6.166666666666667,1 out of 1,['thanks'],['thanks']
18,Ses04M_impro06_F005 [057.3300-060.5700]: --it doesn't really do anything.,nan,nan,nan,nan,nan,0,nan,"['really', 'anything']"
19,But--,nan,nan,nan,nan,nan,0,nan,[]
20,Ses04M_impro06_M005 [063.9400-069.0400]: I just -- it's just not fair.,2.8600000000000003,6.71,3.88,negative,4.483333333333333,1 out of 1,['neg-fair'],['fair']
21,Ses04M_impro06_F006 [072.0300-076.6200]: I know.,6.82,3.24,5.78,positive,5.28,1 out of 1,['know'],['know']
22,It never is.,nan,nan,nan,nan,nan,0,nan,['never']
