Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,Ses04F_script03_1_M000 [006.2551-008.1400]: Good God.,6.895,4.609999999999999,5.705,positive,5.736666666666667,2 out of 2,"['good', 'god']","['good', 'god']"
2,Ses04F_script03_1_F000 [007.7500-009.1900]: Do you think it's them?,6.68,3.75,6.5,positive,5.6433333333333335,1 out of 1,['think'],['think']
3,Ses04F_script03_1_M001 [008.6300-009.6700]: I wonder.,6.68,4.38,6.44,positive,5.833333333333333,1 out of 1,['wonder'],['wonder']
4,Ses04F_script03_1_F001 [009.2300-011.8600]: Nobody knows we're here except Freda and she wouldn't ring up.,5.213333333333334,4.206666666666667,5.426666666666667,neutral,4.948888888888889,3 out of 6,"['know', 'would', 'neg-ring']","['nobody', 'know', 'except', 'freda', 'would', 'ring']"
5,Ses04F_script03_1_M002 [011.4300-012.7900]: It must be them then.,5.45,4.1,5.06,neutral,4.87,1 out of 1,['must'],['must']
6,Ses04F_script03_1_F002 [012.4200-014.5552]: Well what are we going to do?,6.32,4.86,5.33,positive,5.503333333333333,1 out of 2,['go'],"['well', 'go']"
7,"Ses04F_script03_1_M003 [013.9831-017.8100]: We'll be alright, darling.",7.32,3.95,5.44,positive,5.57,1 out of 2,['darling'],"['alright', 'darling']"
8,"Whatever happens, aren't we?",5.5,3.43,5.53,neutral,4.82,1 out of 2,['happen'],"['whatever', 'happen']"
9,Ses04F_script03_1_F003 [017.3400-019.1600]: Now and always sweet.,7.77,4.14,6.12,positive,6.010000000000001,1 out of 2,['sweet'],"['always', 'sweet']"
10,Ses04F_script03_1_M004 [018.9100-020.6600]: I don't care then.,2.3600000000000003,7.33,3.4400000000000004,negative,4.376666666666668,1 out of 1,['neg-care'],['care']
11,Ses04F_script03_1_F004 [020.2755-022.6700]: It was bound to come sooner or later.,5.23,4.05,5.09,neutral,4.79,2 out of 4,"['bind', 'come']","['bind', 'come', 'sooner', 'later']"
12,Ses04F_script03_1_M005 [022.1500-026.2925]: Hello.,nan,nan,nan,nan,nan,0,nan,['hello']
13,Hello.,nan,nan,nan,nan,nan,0,nan,['hello']
14,What?,nan,nan,nan,nan,nan,0,nan,[]
15,Wrong number.,4.415,4.395,4.76,neutral,4.5233333333333325,2 out of 2,"['wrong', 'number']","['wrong', 'number']"
16,Ses04F_script03_1_F005 [025.9111-030.4663]: Ahh.,nan,nan,nan,nan,nan,0,nan,['ahh']
17,It sent shivers up my spine.,5.04,3.74,4.833333333333333,neutral,4.5377777777777775,3 out of 3,"['send', 'shiver', 'spine']","['send', 'shiver', 'spine']"
18,Ses04F_script03_1_M006 [029.8095-033.1781]: What shall we do if they suddenly walk in on us?,6.3149999999999995,3.38,5.859999999999999,positive,5.185,2 out of 4,"['shall', 'walk']","['shall', 'suddenly', 'walk', 'us']"
19,Ses04F_script03_1_F006 [032.8800-034.9200]: Behave exquisitely.,6.25,3.72,7.05,positive,5.673333333333333,1 out of 2,['behave'],"['behave', 'exquisitely']"
20,Ses04F_script03_1_M007 [034.1200-035.8600]: With the most perfect poise.,6.345000000000001,4.24,6.365,positive,5.650000000000001,2 out of 2,"['perfect', 'poise']","['perfect', 'poise']"
21,Ses04F_script03_1_F007 [035.2600-037.8000]: Certainly I shall probably do a court curtsy.,5.243333333333333,4.183333333333334,5.196666666666666,neutral,4.8744444444444435,3 out of 5,"['shall', 'court', 'curtsy']","['certainly', 'shall', 'probably', 'court', 'curtsy']"
22,"Ses04F_script03_1_M008 [036.8900-040.9600]: Things that ought to matter dreadfully don't matter at all when one's happy, do they?",5.851666666666667,4.191666666666666,5.428333333333333,neutral,5.157222222222222,6 out of 7,"['thing', 'ought', 'matter', 'neg-matter', 'one', 'happy']","['thing', 'ought', 'matter', 'dreadfully', 'matter', 'one', 'happy']"
23,Ses04F_script03_1_F008 [040.3900-043.4800]: What is so horrible is that one can't stay happy.,3.4524999999999997,4.8575,4.45,negative,4.253333333333333,4 out of 5,"['horrible', 'one', 'neg-stay', 'neg-happy']","['horrible', 'one', 'ca', 'stay', 'happy']"
24,"Ses04F_script03_1_M009 [043.0600-045.1400]: Don't say that, my darling.",5.705,4.76,4.28,neutral,4.915,2 out of 2,"['neg-say', 'darling']","['say', 'darling']"
25,Ses04F_script03_1_F009 [044.5300-047.2100]: It's true the whole business is very poor joke.,6.08,4.514,5.676,positive,5.423333333333335,5 out of 5,"['true', 'whole', 'business', 'poor', 'joke']","['true', 'whole', 'business', 'poor', 'joke']"
26,Ses04F_script03_1_M010 [046.7300-050.1500]: Meaning that sacred and beautiful thing love.,6.1080000000000005,4.862,5.358,positive,5.442666666666667,5 out of 5,"['mean', 'sacred', 'beautiful', 'thing', 'love']","['mean', 'sacred', 'beautiful', 'thing', 'love']"
27,"Ses04F_script03_1_F010 [049.5700-052.3000]: Yes, meaning just that.",2.43,4.81,4.17,negative,3.8033333333333332,1 out of 2,['mean'],"['yes', 'mean']"
28,Ses04F_script03_1_M011 [051.5500-058.8400]: What does it all mean?,2.43,4.81,4.17,negative,3.8033333333333332,1 out of 1,['mean'],['mean']
29,That's what I asked myself in my ceaseless quest for ultimate truth.,6.285,4.5649999999999995,6.2475000000000005,positive,5.699166666666667,4 out of 5,"['ask', 'quest', 'ultimate', 'truth']","['ask', 'ceaseless', 'quest', 'ultimate', 'truth']"
30,Dear God what does it all mean?,4.165,5.185,4.585,neutral,4.645,2 out of 3,"['god', 'mean']","['dear', 'god', 'mean']"
31,Ses04F_script03_1_F011 [058.0200-060.9100]: Don't laugh at me.,2.4400000000000004,3.38,2.6100000000000003,negative,2.81,1 out of 1,['neg-laugh'],['laugh']
