Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses01M_script03_1_M000 [005.8200-007.6225]: Good God.,6.895,4.609999999999999,5.705,positive,2 out of 2,"['good', 'god']","['good', 'god']"
2,Ses01M_script03_1_F000 [007.3698-009.4250]: Do you think it's them?,6.68,3.75,6.5,positive,1 out of 1,['think'],['think']
3,Ses01M_script03_1_M001 [009.2100-011.5500]: I wonder.,6.68,4.38,6.44,positive,1 out of 1,['wonder'],['wonder']
4,Ses01M_script03_1_F001 [011.1350-015.2126]: Freda is the only one who knows we are here.,6.455,2.955,5.67,positive,2 out of 3,"['one', 'know']","['freda', 'one', 'know']"
5,She wouldn't ring up.,4.41,4.69,5.25,neutral,2 out of 2,"['would', 'neg-ring']","['would', 'ring']"
6,Ses01M_script03_1_M002 [014.7657-016.8575]: Must be them then.,5.45,4.1,5.06,neutral,1 out of 1,['must'],['must']
7,Ses01M_script03_1_F002 [016.3800-019.7400]: What we're going to do?,6.32,4.86,5.33,positive,1 out of 1,['go'],['go']
8,"Ses01M_script03_1_M003 [020.2958-024.1903]: We're okay, right darling?",7.32,4.475,6.300000000000001,positive,2 out of 3,"['right', 'darling']","['okay', 'right', 'darling']"
9,"Whatever happens, we're okay?",5.5,3.43,5.53,neutral,1 out of 3,['happen'],"['whatever', 'happen', 'okay']"
10,Ses01M_script03_1_F003 [023.7700-026.6080]: Now and always sweet.,7.77,4.14,6.12,positive,1 out of 2,['sweet'],"['always', 'sweet']"
11,Ses01M_script03_1_M004 [026.2300-028.6800]: I don't care then.,2.3600000000000003,7.33,3.4400000000000004,negative,1 out of 1,['neg-care'],['care']
12,Ses01M_script03_1_F004 [028.1700-030.7900]: It had to happen sooner or later.,5.5,3.43,5.53,neutral,1 out of 3,['happen'],"['happen', 'sooner', 'later']"
13,Ses01M_script03_1_M005 [030.1400-040.5172]: Yes... Hello?,N/A,N/A,N/A,N/A,0,N/A,"['yes', 'hello']"
14,Hello?,N/A,N/A,N/A,N/A,0,N/A,['hello']
15,I'm sorry what's that?,4.81,4.62,5.65,neutral,1 out of 1,['sorry'],['sorry']
16,"Ses01M_script03_1_M006 [040.6661-042.9600]: No, it's a wrong number.",4.415,4.395,4.76,neutral,2 out of 2,"['wrong', 'number']","['wrong', 'number']"
17,"Ses01M_script03_1_F005 [044.2800-049.6300]: Oh, oh, that sent shivers on my spine.",5.33,3.43,5.52,neutral,3 out of 5,"['send', 'shiver', 'spine']","['oh', 'oh', 'send', 'shiver', 'spine']"
18,"Ses01M_script03_1_M007 [048.8478-050.4450]: [BREATHING] [LAUGHTER]
Ses01M_script03_1_F006 [049.7800-051.3325]: Oh...
Ses01M_script03_1_M008 [051.1167-052.3000]: [BREATHING]
Ses01M_script03_1_F007 [052.0100-053.2000]: [BREATHING]
Ses01M_script03_1_M009 [052.4300-055.4100]: What shall we do if they suddenly walk in on us?",6.77,3.52,5.89,positive,3 out of 9,"['laughter', 'shall', 'walk']","['breathing', 'laughter', 'oh', 'breathing', 'breathing', 'shall', 'suddenly', 'walk', 'us']"
19,Ses01M_script03_1_F008 [054.4200-056.9500]: Oh.,N/A,N/A,N/A,N/A,0,N/A,['oh']
20,"Behave exquisitely...
Ses01M_script03_1_M010 [056.3600-058.9200]: With perfect poise...
Ses01M_script03_1_F009 [057.1675-061.0500]: [LAUGHTER] I think I shall do a court curtsey.",6.25,3.77,6.5,positive,7 out of 9,"['behave', 'perfect', 'poise', 'laughter', 'think', 'shall', 'court']","['behave', 'exquisitely', 'perfect', 'poise', 'laughter', 'think', 'shall', 'court', 'curtsey']"
21,"Ses01M_script03_1_M011 [060.0700-061.4025]: Ah...
Ses01M_script03_1_F010 [061.1400-062.5000]: [LAUGHTER]
Ses01M_script03_1_M012 [061.9400-063.7624]: Ah...Strange...",6.385,4.445,6.15,positive,2 out of 4,"['laughter', 'strange']","['ah', 'laughter', 'ah', 'strange']"
22,"Ses01M_script03_1_F011 [063.4700-064.7675]: Mmm...
Ses01M_script03_1_M013 [064.3200-069.9700]: Things that just ought to matter dreadfully, you know they just don't matter at all when one is happy, do they?",5.82,3.43,5.56,neutral,7 out of 9,"['thing', 'ought', 'matter', 'know', 'neg-matter', 'one', 'happy']","['mmm', 'thing', 'ought', 'matter', 'dreadfully', 'know', 'matter', 'one', 'happy']"
23,Ses01M_script03_1_F012 [069.3900-072.7000]: The pity is that one can't stay happy.,3.5200000000000005,4.01,4.404999999999999,negative,4 out of 5,"['pity', 'one', 'neg-stay', 'neg-happy']","['pity', 'one', 'ca', 'stay', 'happy']"
24,"Ses01M_script03_1_M014 [072.2700-074.5800]: Darling, don't say that.",5.705,4.76,4.28,neutral,2 out of 2,"['darling', 'neg-say']","['darling', 'say']"
25,Ses01M_script03_1_F013 [074.0900-077.5175]: It's true.,7.51,4.98,7.0,positive,1 out of 1,['true'],['true']
26,I think the whole things a very poor joke.,5.86,3.75,5.79,neutral,5 out of 5,"['think', 'whole', 'thing', 'poor', 'joke']","['think', 'whole', 'thing', 'poor', 'joke']"
27,"Ses01M_script03_1_M015 [077.0200-080.8200]: What, this sacred and beautiful thing, love?",7.28,5.18,5.665,positive,4 out of 4,"['sacred', 'beautiful', 'thing', 'love']","['sacred', 'beautiful', 'thing', 'love']"
