Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses01F_script01_1_F000 [006.2100-009.3200]: What's he going to say?,6.115,4.645,6.105,positive,2 out of 2,"['go', 'say']","['go', 'say']"
2,Ses01F_script01_1_F001 [009.3500-012.8955]: Maybe we should tell him before he sees it.,5.77,3.88,5.470000000000001,neutral,2 out of 3,"['tell', 'see']","['maybe', 'tell', 'see']"
3,Ses01F_script01_1_M000 [011.9892-015.1219]: He saw it.,4.16,4.18,4.67,neutral,1 out of 1,['saw'],['saw']
4,Ses01F_script01_1_F002 [014.3063-019.5526]: How could he see it?,6.27,3.9,6.0,positive,1 out of 2,['see'],"['could', 'see']"
5,I was the first one up; he was still in bed.,7.16,3.0,6.38,positive,3 out of 4,"['first', 'one', 'bed']","['first', 'one', 'still', 'bed']"
6,Ses01F_script01_1_M001 [019.0456-022.3962]: He was out here when it broke.,5.1,4.71,4.5,neutral,1 out of 1,['break'],['break']
7,Ses01F_script01_1_F003 [022.3200-024.6667]: When?,N/A,N/A,N/A,N/A,0,N/A,[]
8,Ses01F_script01_1_M002 [024.8000-035.9971]: Four o clock this morning.,5.65,3.39,5.65,neutral,3 out of 3,"['four', 'clock', 'morning']","['four', 'clock', 'morning']"
9,I heard a crack and I woke up and looked out.,6.26,3.78,5.795,positive,4 out of 4,"['hear', 'crack', 'wake', 'look']","['hear', 'crack', 'wake', 'look']"
10,He was standing right over there when it cracked.,5.27,5.0,5.89,neutral,3 out of 3,"['stand', 'right', 'crack']","['stand', 'right', 'crack']"
11,Ses01F_script01_1_F004 [035.3799-039.0900]: What was he doing out here at four o clock in the morning?,5.65,3.39,5.65,neutral,3 out of 3,"['four', 'clock', 'morning']","['four', 'clock', 'morning']"
12,Ses01F_script01_1_M003 [038.6600-040.5300]: I don't know.,3.1799999999999997,6.76,4.22,negative,1 out of 1,['neg-know'],['know']
13,"Ses01F_script01_1_F005 [040.0200-044.9688]: He's dreaming of him again, walking around.",7.1,3.805,5.615,positive,2 out of 3,"['dream', 'walk']","['dream', 'walk', 'around']"
14,Ses01F_script01_1_M004 [044.5500-047.2300]: I guess he is.,5.18,3.86,4.89,neutral,1 out of 1,['guess'],['guess']
15,Ses01F_script01_1_F006 [046.9500-052.3200]: It's getting to be just like after he died.,6.09,4.4,5.65,positive,3 out of 3,"['get', 'like', 'die']","['get', 'like', 'die']"
16,What's the meaning of that?,6.45,4.05,6.53,positive,1 out of 1,['meaning'],['meaning']
17,Ses01F_script01_1_M005 [051.4300-059.5500]: I don't know the meaning of it.,3.3649999999999998,6.355,3.8449999999999998,negative,2 out of 2,"['neg-know', 'neg-meaning']","['know', 'meaning']"
18,"But I know one thing, Mom, you've made a terrible mistake with father.",6.09,3.675,5.484999999999999,positive,8 out of 8,"['know', 'one', 'thing', 'mom', 'make', 'terrible', 'mistake', 'father']","['know', 'one', 'thing', 'mom', 'make', 'terrible', 'mistake', 'father']"
19,Ses01F_script01_1_F007 [058.9500-060.8800]: What?,N/A,N/A,N/A,N/A,0,N/A,[]
20,"Ses01F_script01_1_M006 [062.1628-068.2500]: Being dishonest with him, you know.",4.91,4.095000000000001,5.390000000000001,neutral,2 out of 2,"['dishonest', 'know']","['dishonest', 'know']"
21,This kind of thing always pays off and it's paying off.,6.23,3.835,6.33,positive,4 out of 5,"['kind', 'thing', 'pay', 'pay']","['kind', 'thing', 'always', 'pay', 'pay']"
22,Ses01F_script01_1_F008 [067.6000-070.6700]: What do you mean dishonest?,2.715,4.88,4.585,negative,2 out of 2,"['mean', 'dishonest']","['mean', 'dishonest']"
23,Ses01F_script01_1_M007 [070.0764-078.8718]: You know Larry is not coming back and I know it.,6.03,4.835,5.28,positive,4 out of 5,"['know', 'neg-come', 'neg-back', 'know']","['know', 'larry', 'come', 'back', 'know']"
24,Why do we allow him to go on thinking that we believe with him?,6.535,3.54,6.305,positive,4 out of 4,"['allow', 'go', 'think', 'believe']","['allow', 'go', 'think', 'believe']"
25,Ses01F_script01_1_F009 [078.3648-081.5611]: What do you want to do?,6.0,5.29,5.39,neutral,1 out of 1,['want'],['want']
26,Argue with him?,3.15,6.67,4.77,negative,1 out of 1,['argue'],['argue']
27,Ses01F_script01_1_M008 [081.4068-089.4307]: I don't want to argue but it's time he realized that nobody believes Larry is alive.,6.505000000000001,3.37,5.895,positive,6 out of 8,"['neg-want', 'neg-argue', 'time', 'realize', 'believe', 'alive']","['want', 'argue', 'time', 'realize', 'nobody', 'believe', 'larry', 'alive']"
28,Ses01F_script01_1_M009 [089.7172-101.3800]: You know?,6.82,3.24,5.78,positive,1 out of 1,['know'],['know']
29,"Why shouldn't he walk the nights thinking of him, dreaming of him?",6.68,4.37,5.22,positive,3 out of 4,"['neg-walk', 'night', 'dream']","['walk', 'night', 'thinking', 'dream']"
30,Do we contradict him?,3.58,4.25,4.83,negative,1 out of 1,['contradict'],['contradict']
31,"Do we say, we don't have any hope anymore?",4.215,4.57,5.05,neutral,2 out of 3,"['say', 'neg-hope']","['say', 'hope', 'anymore']"
32,That we haven't had any hope for years now?,4.135,4.02,4.515,neutral,2 out of 2,"['neg-hope', 'year']","['hope', 'year']"
33,Ses01F_script01_1_F010 [100.1400-102.3482]: You can't say that to him.,4.09,5.57,3.12,neutral,1 out of 2,['neg-say'],"['ca', 'say']"
34,Ses01F_script01_1_M010 [102.1000-104.7200]: We've got to say it to him.,6.0,4.05,6.265000000000001,neutral,2 out of 2,"['get', 'say']","['get', 'say']"
35,Ses01F_script01_1_F011 [104.2900-108.7408]: Where's the proof?,6.38,4.15,7.05,positive,1 out of 1,['proof'],['proof']
36,Do you have any proof?,6.38,4.15,7.05,positive,1 out of 1,['proof'],['proof']
37,"Ses01F_script01_1_M011 [108.1897-118.4700]: For God's sake, three years?",5.59,3.355,5.3100000000000005,neutral,4 out of 4,"['god', 'sake', 'three', 'year']","['god', 'sake', 'three', 'year']"
38,Nobody comes back after three years; that's insane.,5.43,3.38,5.45,neutral,5 out of 6,"['come', 'back', 'three', 'year', 'insane']","['nobody', 'come', 'back', 'three', 'year', 'insane']"
39,"Ses01F_script01_1_F012 [117.8228-129.5100]: To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.",6.585,3.685,5.875,positive,4 out of 4,"['father', 'talk', 'blue', 'face']","['father', 'talk', 'blue', 'face']"
40,"But there is no grave and there is no body, so where are you?",5.824999999999999,5.42,5.255,neutral,2 out of 2,"['neg-grave', 'neg-body']","['grave', 'body']"
41,"Ses01F_script01_1_M012 [130.7600-134.5900]: Sit down, Mom.",6.73,3.9050000000000002,6.175,positive,2 out of 2,"['sit', 'mom']","['sit', 'mom']"
42,I want to talk to you.,6.32,4.335,5.915,positive,2 out of 2,"['want', 'talk']","['want', 'talk']"
43,Ses01F_script01_1_F013 [134.0100-141.9500]: It's that the trouble is those God damn newspapers.,4.715,5.33,4.695,neutral,4 out of 4,"['trouble', 'god', 'damn', 'newspaper']","['trouble', 'god', 'damn', 'newspaper']"
44,"Every month some new boy comes back and so the next one is going to be Larry, they just--
Ses01F_script01_1_M013 [141.0500-149.7500]: All right, all right, all right.",6.205,4.485,5.529999999999999,positive,10 out of 13,"['month', 'new', 'boy', 'come', 'back', 'one', 'go', 'right', 'right', 'right']","['every', 'month', 'new', 'boy', 'come', 'back', 'next', 'one', 'go', 'larry', 'right', 'right', 'right']"
45,"You know why I asked Annie here, right?",6.82,3.48,6.29,positive,3 out of 4,"['know', 'ask', 'right']","['know', 'ask', 'annie', 'right']"
46,Ses01F_script01_1_F014 [150.2700-152.6736]: Why?,N/A,N/A,N/A,N/A,0,N/A,[]
47,Ses01F_script01_1_M014 [153.8860-155.8699]: You know.,6.82,3.24,5.78,positive,1 out of 1,['know'],['know']
48,"Ses01F_script01_1_F015 [156.1786-160.6700]: Well I got an idea, but what's your story?",7.05,3.67,5.65,positive,3 out of 4,"['get', 'idea', 'story']","['well', 'get', 'idea', 'story']"
49,Ses01F_script01_1_M015 [161.9980-165.3487]: I'm going to ask her to marry me.,6.32,4.86,5.67,positive,3 out of 3,"['go', 'ask', 'marry']","['go', 'ask', 'marry']"
50,"Ses01F_script01_1_F016 [165.6573-169.5590]: Well that's only your business, Chris.",5.48,3.71,5.35,neutral,1 out of 3,['business'],"['well', 'business', 'chris']"
51,Ses01F_script01_1_M016 [169.7574-172.1800]: You know it's not just my business.,5.67,4.765000000000001,5.215,neutral,2 out of 2,"['know', 'neg-business']","['know', 'business']"
52,Ses01F_script01_1_F017 [171.6300-175.4900]: Well what do you want me to do?,6.0,5.29,5.39,neutral,1 out of 2,['want'],"['well', 'want']"
53,You're old enough to know your own mind.,6.7,4.48,5.78,positive,3 out of 4,"['old', 'know', 'mind']","['old', 'enough', 'know', 'mind']"
54,"Ses01F_script01_1_M017 [174.7833-177.7200]: So all right then, I'll just go ahead with it?",6.82,4.93,6.245,positive,2 out of 3,"['right', 'go']","['right', 'go', 'ahead']"
55,"Ses01F_script01_1_F018 [176.9600-179.7500]: Well you want to make sure that your father is not going to --
Ses01F_script01_1_M018 [179.2800-181.9475]: Then it's not just my business.",6.045,4.41,5.29,positive,6 out of 7,"['want', 'make', 'sure', 'father', 'neg-go', 'neg-business']","['well', 'want', 'make', 'sure', 'father', 'go', 'business']"
56,Ses01F_script01_1_F019 [183.9800-186.0500]: I'm just saying.,5.91,4.43,6.88,neutral,1 out of 1,['say'],['say']
57,Ses01F_script01_1_M019 [185.0300-195.2800]: You know sometimes you infuriate me.,6.82,3.24,5.78,positive,1 out of 3,['know'],"['know', 'sometimes', 'infuriate']"
58,you know that?,6.82,3.24,5.78,positive,1 out of 1,['know'],['know']
59,Isn't it your business if I tell father and he throws a fit about it?,5.55,4.35,5.19,neutral,5 out of 5,"['neg-business', 'tell', 'father', 'throw', 'fit']","['business', 'tell', 'father', 'throw', 'fit']"
60,"God, you have such a talent for ignoring things.",5.725,4.68,5.205,neutral,4 out of 4,"['god', 'talent', 'ignore', 'thing']","['god', 'talent', 'ignore', 'thing']"
61,Ses01F_script01_1_F020 [194.0600-198.9100]: Oh.,N/A,N/A,N/A,N/A,0,N/A,['oh']
62,I ignore what I got to ignore.,3.33,3.8,4.83,negative,3 out of 3,"['ignore', 'get', 'ignore']","['ignore', 'get', 'ignore']"
63,That girl is Larry's girl.,7.15,5.23,5.27,positive,2 out of 3,"['girl', 'girl']","['girl', 'larry', 'girl']"
64,Ses01F_script01_1_M020 [197.6000-199.7475]: She's not Larry's girl.,2.8499999999999996,4.77,4.73,negative,1 out of 2,['neg-girl'],"['larry', 'girl']"
65,F: Line.,4.82,3.24,4.89,neutral,1 out of 2,['line'],"['f', 'line']"
66,"M: From mother's point of view, he's not dead.",7.1,4.295,6.555,positive,4 out of 4,"['mother', 'point', 'view', 'neg-dead']","['mother', 'point', 'view', 'dead']"
67,"Ses01F_script01_1_F021 [205.1600-215.1700]: From your father's point of view, he is not dead and- Chris he still thinks he's still alive.",6.675,3.8049999999999997,6.635,positive,6 out of 9,"['father', 'point', 'view', 'neg-dead', 'think', 'alive']","['father', 'point', 'view', 'dead', 'chris', 'still', 'think', 'still', 'alive']"
68,The girl is Larry's girl.,7.15,5.23,5.27,positive,2 out of 3,"['girl', 'girl']","['girl', 'larry', 'girl']"
69,F: From...line.,4.82,3.24,4.89,neutral,1 out of 2,['line'],"['f', 'line']"
70,M: Now you can go on from here.,6.32,4.86,5.33,positive,1 out of 1,['go'],['go']
71,"Ses01F_script01_1_F022 [219.0400-223.8200]: Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go.",6.32,4.86,5.33,positive,6 out of 6,"['go', 'know', 'go', 'tell', 'neg-know', 'go']","['go', 'know', 'go', 'tell', 'know', 'go']"
72,"Ses01F_script01_1_M021 [224.7000-236.0500]: I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer.",5.175,3.9349999999999996,4.79,neutral,8 out of 10,"['neg-know', 'time', 'reach', 'pull', 'back', 'afraid', 'people', 'suffer']","['know', 'every', 'time', 'reach', 'something', 'pull', 'back', 'afraid', 'people', 'suffer']"
73,"My whole bloody life, time after time.",5.6,3.48,4.36,neutral,5 out of 5,"['whole', 'bloody', 'life', 'time', 'time']","['whole', 'bloody', 'life', 'time', 'time']"
74,"F: You're --
Ses01F_script01_1_F023 [235.2000-238.5600]: You're a considerate fellow, there's nothing wrong in that.",6.28,3.67,6.0,positive,3 out of 5,"['considerate', 'fellow', 'wrong']","['f', 'considerate', 'fellow', 'nothing', 'wrong']"
75,Ses01F_script01_1_M022 [237.8000-240.4290]: To hell with that.,2.55,6.26,3.47,negative,1 out of 1,['hell'],['hell']
76,Ses01F_script01_1_F024 [241.3769-245.1904]: I just don't see why.,3.7300000000000004,6.1,4.0,negative,1 out of 1,['neg-see'],['see']
77,Have you asked Annie yet?,5.95,3.48,6.29,neutral,1 out of 3,['ask'],"['ask', 'annie', 'yet']"
78,Ses01F_script01_1_M023 [245.2786-247.5700]: I wanted to get this settled first.,6.045,4.285,5.905,positive,4 out of 4,"['want', 'get', 'settle', 'first']","['want', 'get', 'settle', 'first']"
