Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses01M_impro01_F000 [006.7700-008.4600]: Next.,N/A,N/A,N/A,N/A,0,N/A,['next']
2,"Ses01M_impro01_M000 [008.2208-011.2800]: Yes, me.",N/A,N/A,N/A,N/A,0,N/A,['yes']
3,"Okay, okay here we go.",6.32,4.86,5.33,positive,1 out of 3,['go'],"['okay', 'okay', 'go']"
4,Ses01M_impro01_F001 [008.5500-010.6000]: My window is open.,6.305,3.8499999999999996,5.779999999999999,positive,2 out of 2,"['window', 'open']","['window', 'open']"
5,"Ses01M_impro01_M001 [011.3200-013.7700]: Okay, so filled out all these forms  --
Ses01M_impro01_F002 [014.4600-018.2300]: This is...",5.6,3.6,6.625,neutral,2 out of 3,"['fill', 'form']","['okay', 'fill', 'form']"
6,Your last- Your first name is Jones?,6.475,3.97,5.76,positive,2 out of 4,"['first', 'name']","['last', 'first', 'name', 'jones']"
7,"Ses01M_impro01_M002 [013.7700-016.8800]: and I have This form of ID here so...
Ses01M_impro01_M003 [017.6600-020.1400]: Yes, Jones.",5.57,3.395,5.915,neutral,2 out of 4,"['form', 'id']","['form', 'id', 'yes', 'jones']"
8,Ses01M_impro01_F003 [019.4800-023.4300]: That's just strange I figured you filled in wrong sections.,5.05,3.67,5.39,neutral,5 out of 5,"['strange', 'figure', 'fill', 'wrong', 'section']","['strange', 'figure', 'fill', 'wrong', 'section']"
9,"Ses01M_impro01_M004 [022.8900-024.2800]: Well...
Ses01M_impro01_F004 [023.4300-026.4675]: What are you... what's...What are you applying for?",5.16,3.24,6.2,neutral,1 out of 2,['apply'],"['well', 'apply']"
10,Ses01M_impro01_M005 [025.9400-029.0700]: I'm just applying for another ID.,5.33,3.09,5.78,neutral,2 out of 3,"['apply', 'id']","['apply', 'another', 'id']"
11,Ses01M_impro01_F005 [028.4100-030.9600]: Another ID?,5.5,2.94,5.36,neutral,1 out of 2,['id'],"['another', 'id']"
12,Ses01M_impro01_M006 [029.3900-038.1500]: Yes.,N/A,N/A,N/A,N/A,0,N/A,['yes']
13,I'm supposed to have three forms of ID for this.,5.465,3.355,5.405,neutral,4 out of 4,"['suppose', 'three', 'form', 'id']","['suppose', 'three', 'form', 'id']"
14,"It's a long story, I'm supposed to have three forms of ID for this other job I really don't get into but I need another...
Ses01M_impro01_F006 [036.1500-038.6000]: Fine.",5.5,3.67,5.33,neutral,9 out of 12,"['story', 'suppose', 'three', 'form', 'id', 'job', 'neg-get', 'need', 'fine']","['long', 'story', 'suppose', 'three', 'form', 'id', 'job', 'really', 'get', 'need', 'another', 'fine']"
15,So I need ID.,5.475,3.3049999999999997,5.21,neutral,2 out of 2,"['need', 'id']","['need', 'id']"
