Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,Ses02F_impro02_F000 [008.9084-011.9078]: It's almost time for me to go.,5.96,4.135,4.845000000000001,neutral,4.9799999999999995,2 out of 3,"['time', 'go']","['almost', 'time', 'go']"
2,Ses02F_impro02_M000 [011.5255-018.7886]: I can't believe that--now--are you sure this is absolutely necessary?,4.993333333333333,4.51,5.05,neutral,4.851111111111112,3 out of 5,"['neg-believe', 'sure', 'necessary']","['ca', 'believe', 'sure', 'absolutely', 'necessary']"
3,Like--,7.44,4.4,6.28,positive,6.04,1 out of 1,['like'],['like']
4,Ses02F_impro02_F001 [018.3682-024.3889]: There's nothing I can do.,nan,nan,nan,nan,nan,0,nan,['nothing']
5,"I mean, the government you know--",4.343333333333334,3.933333333333333,4.3533333333333335,neutral,4.21,3 out of 3,"['mean', 'government', 'know']","['mean', 'government', 'know']"
6,Ses02F_impro02_M001 [024.1978-031.0213]: What--what're we gonna do here?,nan,nan,nan,nan,nan,0,nan,"['gon', 'na']"
7,I can't--I can't do this by myself.,nan,nan,nan,nan,nan,0,nan,"['ca', 'ca']"
8,I--,nan,nan,nan,nan,nan,0,nan,[]
9,Ses02F_impro02_F002 [030.6582-037.9405]: You're gonna have to.,nan,nan,nan,nan,nan,0,nan,"['gon', 'na']"
10,"I mean, you're a great father.",5.6033333333333335,4.21,5.336666666666667,neutral,5.05,3 out of 3,"['mean', 'great', 'father']","['mean', 'great', 'father']"
11,You can do it.,nan,nan,nan,nan,nan,0,nan,[]
12,I know you can.,6.82,3.24,5.78,positive,5.28,1 out of 1,['know'],['know']
13,"Ses02F_impro02_M002 [037.8258-047.7648]: But, I'm--I'm nothing--I'm nothing without you here.",nan,nan,nan,nan,nan,0,nan,"['nothing', 'nothing', 'without']"
14,Maybe we can--we can get out of this somehow.,6.09,3.67,5.65,positive,5.136666666666667,1 out of 3,['get'],"['maybe', 'get', 'somehow']"
15,Ses02F_impro02_F003 [046.8146-049.4112]: I don't think so.,3.3200000000000003,6.25,3.5,negative,4.3566666666666665,1 out of 1,['neg-think'],['think']
16,"Ses02F_impro02_M003 [049.5424-063.7247]: Well, come on.",5.64,3.57,5.94,neutral,5.05,1 out of 2,['come'],"['well', 'come']"
17,You've gotta think of something.,6.385,3.71,6.075,positive,5.39,2 out of 4,"['get', 'think']","['get', 'ta', 'think', 'something']"
18,"A year--a year away, it's gonna tear us apart.",4.88,3.82,5.766666666666667,neutral,4.822222222222222,3 out of 8,"['year', 'year', 'tear']","['year', 'year', 'away', 'gon', 'na', 'tear', 'us', 'apart']"
19,I don't even--I don't even wanna think about it.,6.68,3.75,6.5,positive,5.6433333333333335,1 out of 5,['think'],"['even', 'even', 'wan', 'na', 'think']"
20,"I mean, I don't even know if I'll be able to get in touch with you or--",4.9959999999999996,4.704,5.29,neutral,4.996666666666666,5 out of 6,"['mean', 'neg-know', 'able', 'get', 'touch']","['mean', 'even', 'know', 'able', 'get', 'touch']"
